"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00094726","41.67908","-70.95911","22.4","2021-03-22",,"57","26",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-23",,"65","31",,"    1",,
"USW00094726","41.67908","-70.95911","22.4","2021-03-24",,"61","31",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-25",,"68","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-26",,"63","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-27",,"64","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-28",,"58","41",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-29",,"52","36",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-30",,"53","25",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-03-31",,"68","45",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-01",,"59","34",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-02",,"40","30",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-03",,"49","24",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-04",,"59","23",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-05",,"61","45",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-06",,"63","39",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-07",,"61","32",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-08",,"63","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-09",,"64","36",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-10",,"66","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-11",,"54","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-12",,"52","40",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-13",,"57","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-14",,"58","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-15",,"53","41",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-16",,"44","34",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-17",,"47","38",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-18",,"61","36",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-19",,"65","39",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-20",,"69","36",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-21",,"67","38",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-22",,"49","33",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-23",,"60","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-24",,"72","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-25",,"50","40",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-26",,"58","35",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-27",,"66","39",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-28",,"68","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-29",,"59","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-04-30",,"67","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-01",,"65","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-02",,"72","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-03",,"70","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-04",,"52","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-05",,"55","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-06",,"66","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-07",,"61","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-08",,"55","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-09",,"64","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-10",,"60","44","    1",,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-11",,"65","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-12",,"68","42",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-13",,"69","37",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-14",,"74","40",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-15",,"75","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-16",,"77","46",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-17",,"75","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-18",,"81","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-19",,"76","49",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-20",,"73","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-21",,"74","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-22",,"76","55",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-23",,"89","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-24",,"63","46",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-25",,"67","43",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-26",,"77","57",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-27",,"82","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-28",,"64","45",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-29",,"49","44",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-30",,"50","48",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-05-31",,"59","49",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-01",,"74","46",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-02",,"75","53",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-03",,"71","55",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-04",,"72","60",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-05",,"84","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-06",,"90","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-07",,"86","64",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-08",,"88","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-09",,"91","66",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-10",,"75","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-11",,"70","45",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-12",,"69","54",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-13",,"80","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-14",,"70","52",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-15",,"78","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-16",,"76","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-17",,"76","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-18",,"80","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-19",,"84","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-20",,"83","63",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-21",,"75","66",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-22",,"85","62","    1",,"    1",
"USW00094726","41.67908","-70.95911","22.4","2021-06-23",,"74","51",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-24",,"74","47",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-25",,"79","60",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-26",,"81","67",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-27",,"81","71",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-28",,"88","70",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-29",,"94","71",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-06-30",,"93","70",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-01",,"87","69",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-02",,"72","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-03",,"64","57",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-04",,"69","56",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-05",,"73","58",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-06",,"83","68",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-07",,"89","69",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-08",,"77","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-09",,"78","69",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-10",,"75","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-11",,"77","54",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-12",,"75","64",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-13",,"72","63",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-14",,"83","67",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-15",,"91","70",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-16",,"88","72","    1",,,"    1"
"USW00094726","41.67908","-70.95911","22.4","2021-07-17",,"89","72",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-18",,"82","73",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-19",,"79","69",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-20",,"86","63",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-21",,"85","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-22",,"80","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-23",,"82","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-24",,"81","55",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-25",,"75","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-26",,"90","66",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-27",,"89","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-28",,"90","56",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-29",,"78","53",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-30",,"83","61",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-07-31",,"75","52",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-01",,"78","50",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-02",,"82","57",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-03",,"77","54",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-04",,"74","60",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-05",,"78","64",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-06",,"84","60",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-07",,"87","63",,"    1",,
"USW00094726","41.67908","-70.95911","22.4","2021-08-08",,"84","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-09",,"77","64",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-10",,"80","67","    1",,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-11",,"86","74",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-12",,"90","73",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-13",,"92","72",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-14",,"90","72",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-15",,"82","62",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-16",,"80","59",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-17",,"81","57",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-18",,"84","65",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-19",,"81","68",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-20",,"84","69",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-21",,"85","67",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-22",,"76","71",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-23",,"83","71","    1",,"    1",
"USW00094726","41.67908","-70.95911","22.4","2021-08-24",,"88","70",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-25",,"90","68",,,,
"USW00094726","41.67908","-70.95911","22.4","2021-08-26",,"91","68",,,,
