"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT09"
"USW00094726","41.67908","-70.95911","22.4","2022-03-20",,"64","46",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-21",,"60","42",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-22",,"54","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-23",,"47","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-24",,"47","38",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-25",,"57","40",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-26",,"56","36",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-27",,"51","32",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-28",,"35","22",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-29",,"41","19",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-30",,"49","28",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-03-31",,"62","40",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-01",,"61","40",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-02",,"55","33",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-03",,"52","29",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-04",,"57","38",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-05",,"58","31",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-06",,"48","41",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-07",,"56","40",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-08",,"64","41",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-09",,"59","39",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-10",,"58","38",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-11",,"61","39",,,,,
"USW00094726","41.67908","-70.95911","22.4","2022-04-12",,"68","45",,,,,
